instance;distance_to_feasibility,soft_cost,total_cost
comp-2007-2-1,2378,2110,4488
comp-2007-2-10,2374,1965,4339
comp-2007-2-11,2080,3207,5287
comp-2007-2-12,2789,3158,5947
comp-2007-2-13,1100,1448,2548
comp-2007-2-14,948,1489,2437
comp-2007-2-15,1062,1590,2652
comp-2007-2-16,686,1639,2325
comp-2007-2-17,694,3055,3749
comp-2007-2-18,1966,2034,4000
comp-2007-2-19,2954,3151,6105
comp-2007-2-2,1879,2279,4158
comp-2007-2-20,1065,3082,4147
comp-2007-2-21,671,1488,2159
comp-2007-2-22,2138,2036,4174
comp-2007-2-23,5192,3797,8989
comp-2007-2-24,2077,3111,5188
comp-2007-2-3,1718,3140,4858
comp-2007-2-4,1604,3119,4723
comp-2007-2-5,893,1465,2358
comp-2007-2-6,939,1393,2332
comp-2007-2-7,1235,1652,2887
comp-2007-2-8,911,1721,2632
comp-2007-2-9,1845,2224,4069
