instance;distance_to_feasibility,soft_cost,total_cost
comp-2007-2-1,2394,2087,4481
comp-2007-2-10,2910,1869,4779
comp-2007-2-11,2031,2913,4944
comp-2007-2-12,2355,2888,5243
comp-2007-2-13,1257,1271,2528
comp-2007-2-14,1132,1337,2469
comp-2007-2-15,1038,1611,2649
comp-2007-2-16,743,1635,2378
comp-2007-2-17,628,2462,3090
comp-2007-2-18,1779,2188,3967
comp-2007-2-19,3014,3017,6031
comp-2007-2-2,2447,2043,4490
comp-2007-2-20,1503,2834,4337
comp-2007-2-21,831,1424,2255
comp-2007-2-22,2577,1965,4542
comp-2007-2-23,6474,3501,9975
comp-2007-2-24,2589,3177,5766
comp-2007-2-3,1533,3339,4872
comp-2007-2-4,1913,3285,5198
comp-2007-2-5,1017,1337,2354
comp-2007-2-6,833,1352,2185
comp-2007-2-7,1193,1644,2837
comp-2007-2-8,1055,1550,2605
comp-2007-2-9,2389,2059,4448
