instance;distance_to_feasibility,soft_cost,total_cost
comp-2007-2-1,2394,2011,4405
comp-2007-2-10,2910,1921,4831
comp-2007-2-11,2031,2913,4944
comp-2007-2-12,2355,2819,5174
comp-2007-2-13,1257,1274,2531
comp-2007-2-14,1132,1342,2474
comp-2007-2-15,1038,1615,2653
comp-2007-2-16,743,1644,2387
comp-2007-2-17,628,2464,3092
comp-2007-2-18,1779,2184,3963
comp-2007-2-19,3014,2972,5986
comp-2007-2-2,2447,2005,4452
comp-2007-2-20,1503,2917,4420
comp-2007-2-21,831,1441,2272
comp-2007-2-22,2577,1965,4542
comp-2007-2-23,6474,3487,9961
comp-2007-2-24,2589,3177,5766
comp-2007-2-3,1533,3292,4825
comp-2007-2-4,1913,3330,5243
comp-2007-2-5,1017,1319,2336
comp-2007-2-6,833,1345,2178
comp-2007-2-7,1193,1643,2836
comp-2007-2-8,1055,1550,2605
comp-2007-2-9,2389,2036,4425
