instance;distance_to_feasibility,soft_cost,total_cost
comp-2007-2-1,2394,2044,4438
comp-2007-2-10,2910,2002,4912
comp-2007-2-11,2031,2932,4963
comp-2007-2-12,2355,2918,5273
comp-2007-2-13,1257,1288,2545
comp-2007-2-14,1132,1351,2483
comp-2007-2-15,1038,1616,2654
comp-2007-2-16,743,1661,2404
comp-2007-2-17,628,2462,3090
comp-2007-2-18,1779,2220,3999
comp-2007-2-19,3014,3044,6058
comp-2007-2-2,2447,2031,4478
comp-2007-2-20,1503,3008,4511
comp-2007-2-21,831,1450,2281
comp-2007-2-22,2577,1965,4542
comp-2007-2-23,6474,3495,9969
comp-2007-2-24,2589,3177,5766
comp-2007-2-3,1533,3342,4875
comp-2007-2-4,1913,3336,5249
comp-2007-2-5,1017,1316,2333
comp-2007-2-6,833,1351,2184
comp-2007-2-7,1193,1644,2837
comp-2007-2-8,1055,1550,2605
comp-2007-2-9,2389,2069,4458
