instance;distance_to_feasibility,soft_cost,total_cost
comp-2007-2-1,1667,1848,3515
comp-2007-2-10,2330,1705,4035
comp-2007-2-11,1365,2153,3518
comp-2007-2-12,2324,2306,4630
comp-2007-2-13,882,1107,1989
comp-2007-2-14,861,1105,1966
comp-2007-2-15,882,1353,2235
comp-2007-2-16,662,1347,2009
comp-2007-2-17,342,1748,2090
comp-2007-2-18,1777,1581,3358
comp-2007-2-19,2519,2520,5039
comp-2007-2-2,2006,1681,3687
comp-2007-2-20,1004,2420,3424
comp-2007-2-21,624,1123,1747
comp-2007-2-22,2050,1838,3888
comp-2007-2-23,4828,2673,7501
comp-2007-2-24,1770,2181,3951
comp-2007-2-3,1180,2282,3462
comp-2007-2-4,1566,2202,3768
comp-2007-2-5,823,1125,1948
comp-2007-2-6,838,1052,1890
comp-2007-2-7,1169,1208,2377
comp-2007-2-8,1127,1286,2413
comp-2007-2-9,1941,1701,3642
