instance;distance_to_feasibility,soft_cost,total_cost
comp-2007-2-1,1705,1882,3587
comp-2007-2-10,2121,1795,3916
comp-2007-2-11,1160,2544,3704
comp-2007-2-12,1455,2436,3891
comp-2007-2-13,794,1064,1858
comp-2007-2-14,912,1051,1963
comp-2007-2-15,871,1315,2186
comp-2007-2-16,357,1350,1707
comp-2007-2-17,133,1724,1857
comp-2007-2-18,1387,1957,3344
comp-2007-2-19,2567,2510,5077
comp-2007-2-2,2017,1763,3780
comp-2007-2-20,910,2589,3499
comp-2007-2-21,607,1218,1825
comp-2007-2-22,2052,1757,3809
comp-2007-2-23,5297,2854,8151
comp-2007-2-24,1736,2444,4180
comp-2007-2-3,1298,2371,3669
comp-2007-2-4,1196,2112,3308
comp-2007-2-5,862,1098,1960
comp-2007-2-6,816,1102,1918
comp-2007-2-7,1148,1248,2396
comp-2007-2-8,1059,1305,2364
comp-2007-2-9,1979,1747,3726
