instance;distance_to_feasibility,soft_cost,total_cost
comp-2007-2-1,1731,1709,3440
comp-2007-2-10,2414,1783,4197
comp-2007-2-11,1392,2187,3579
comp-2007-2-12,2304,2391,4695
comp-2007-2-13,866,1138,2004
comp-2007-2-14,801,1081,1882
comp-2007-2-15,853,1261,2114
comp-2007-2-16,563,1292,1855
comp-2007-2-17,327,1637,1964
comp-2007-2-18,1872,1691,3563
comp-2007-2-19,2250,2112,4362
comp-2007-2-2,1919,1723,3642
comp-2007-2-20,975,2432,3407
comp-2007-2-21,649,1184,1833
comp-2007-2-22,2134,1686,3820
comp-2007-2-23,4489,3140,7629
comp-2007-2-24,1754,2292,4046
comp-2007-2-3,811,2013,2824
comp-2007-2-4,1679,2302,3981
comp-2007-2-5,911,1095,2006
comp-2007-2-6,796,989,1785
comp-2007-2-7,956,1290,2246
comp-2007-2-8,1094,1289,2383
comp-2007-2-9,2096,1704,3800
