instance;distance_to_feasibility,soft_cost,total_cost
comp-2007-2-1,1754,1799,3553
comp-2007-2-10,2327,1771,4098
comp-2007-2-11,1339,2453,3792
comp-2007-2-12,1513,2320,3833
comp-2007-2-13,916,1008,1924
comp-2007-2-14,894,1052,1946
comp-2007-2-15,783,1337,2120
comp-2007-2-16,582,1447,2029
comp-2007-2-17,526,1628,2154
comp-2007-2-18,1633,1786,3419
comp-2007-2-19,2357,2617,4974
comp-2007-2-2,2110,1593,3703
comp-2007-2-20,761,2407,3168
comp-2007-2-21,722,1157,1879
comp-2007-2-22,2004,1728,3732
comp-2007-2-23,4338,3094,7432
comp-2007-2-24,1856,2484,4340
comp-2007-2-3,881,2397,3278
comp-2007-2-4,1149,2563,3712
comp-2007-2-5,792,1185,1977
comp-2007-2-6,821,1074,1895
comp-2007-2-7,974,1260,2234
comp-2007-2-8,971,1200,2171
comp-2007-2-9,2210,1678,3888
